"InChI=1S/C10H9F13O2/c11-5(12,1-3-25-4-2-24)6(13,14)7(15,16)8(17,18)9(19,20)10(21,22)23/h24H,1-4H2",YAQLJWSYXRXTDO-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCO)F)F)F)F)F)F,,,C10H9F13O2,408.03949638800003,3.2321,1,0,0,BTM00010,BTM00010,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",HHLFWLYXYJOTON-UHFFFAOYSA-N,C(C(O)=O)=O,,,C2H2O3,74.000393924,-0.43220000000000003,0,0,0,BTM00011,BTM00011,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
"InChI=1S/C12H11F13O5/c13-7(14,3-6(28)30-2-1-29-4-5(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h6,28H,1-4H2,(H,26,27)",PJYKJMRCUVLXNB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC(OCCOCC(O)=O)O)F)F)F)F)F)F,,,C12H11F13O5,482.039890312,2.4267999999999996,0,1,1,BTM00012,BTM00012,Hydroxylation from CyProduct,BTMR1328,CYP3A4,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F,"InChI=1S/C12H11F13O4/c13-7(14,1-2-28-3-4-29-5-6(26)27)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h1-5H2,(H,26,27)",DPCYXDIFXSLMQZ-UHFFFAOYSA-N,,466.0449
InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C16H14F17NO5/c17-9(18,1-2-38-3-4-39-6-7(35)34-5-8(36)37)10(19,20)11(21,22)12(23,24)13(25,26)14(27,28)15(29,30)16(31,32)33/h1-6H2,(H,34,35)(H,36,37)",JRTJMKDTTAAICI-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F)F)F,,,C16H14F17NO5,623.060052288,3.5665000000000004,2,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C20H19F17O10/c21-13(22,14(23,24)15(25,26)16(27,28)17(29,30)18(31,32)19(33,34)20(35,36)37)1-2-44-3-4-45-5-6(38)46-12-9(41)7(39)8(40)10(47-12)11(42)43/h7-10,12,39-41H,1-5H2,(H,42,43)",IOWNEYWTRMXVSB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(OC1OC(C(O)C(O)C1O)C(O)=O)=O)F)F)F)F)F)F)F)F,,,C20H19F17O10,742.0706765479999,2.597800000000002,2,2,2,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C21H24F17NO6/c1-39(2,3)9-11(8-12(40)41)45-13(42)10-44-7-6-43-5-4-14(22,23)15(24,25)16(26,27)17(28,29)18(30,31)19(32,33)20(34,35)21(36,37)38/h11H,4-10H2,1-3H3",HVSQTKZUYFTTJC-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)F)F)F)F)F)F)F)F,,,C21H24F17NO6,709.1332172279999,2.383400000000001,2,1,1,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C10H3F17O/c11-3(12,1-2-28)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)9(23,24)10(25,26)27/h2H,1H2",KDGIOTBLYAPNRR-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC=O)F)F)F)F)F)F)F)F,,,C10H3F17O,461.991244456,4.3817,1,0,0,BTM00004,BTM00004,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C4H8O4/c5-1-2-8-3-4(6)7/h5H,1-3H2,(H,6,7)",VDNMIIDPBBCMTM-UHFFFAOYSA-N,OCCOCC(O)=O,,,C4H8O4,120.042258736,-0.8194000000000005,0,0,0,BTM00005,BTM00005,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C10H5F17O/c11-3(12,1-2-28)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)9(23,24)10(25,26)27/h28H,1-2H2",JJUBFBTUBACDHW-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCO)F)F)F)F)F)F)F)F,,,C10H5F17O,464.00689452,4.3462000000000005,1,0,0,BTM00006,BTM00006,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C4H6O4/c5-1-2-8-3-4(6)7/h1H,2-3H2,(H,6,7)",DNQIKJLNGVXFBP-UHFFFAOYSA-N,C(COCC(O)=O)=O,,,C4H6O4,118.026608672,-0.5631,0,0,0,BTM00007,BTM00007,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C12H7F17O2/c13-5(14,1-3-31-4-2-30)6(15,16)7(17,18)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)29/h2H,1,3-4H2",HDYPXNCMKOSZBJ-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCC=O)F)F)F)F)F)F)F)F,,,C12H7F17O2,506.01745920400003,4.4716000000000005,2,0,0,BTM00008,BTM00008,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",AEMRFAOFKBGASW-UHFFFAOYSA-N,OCC(O)=O,,,C2H4O3,76.01604398799999,-0.6885000000000001,0,0,0,BTM00009,BTM00009,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C12H9F17O2/c13-5(14,1-3-31-4-2-30)6(15,16)7(17,18)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)29/h30H,1-4H2",ZFJGYVODBVRJGG-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCO)F)F)F)F)F)F)F)F,,,C12H9F17O2,508.03310926800003,4.2153,2,0,0,BTM00010,BTM00010,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",HHLFWLYXYJOTON-UHFFFAOYSA-N,C(C(O)=O)=O,,,C2H2O3,74.000393924,-0.43220000000000003,0,0,0,BTM00011,BTM00011,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
"InChI=1S/C14H11F17O5/c15-7(16,3-6(34)36-2-1-35-4-5(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h6,34H,1-4H2,(H,32,33)",FKGWNLAAIOVQHG-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC(OCCOCC(O)=O)O)F)F)F)F)F)F)F)F,,,C14H11F17O5,582.033503192,3.4099999999999997,2,1,1,BTM00012,BTM00012,Hydroxylation from CyProduct,BTMR1328,CYP3A4,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F,"InChI=1S/C14H11F17O4/c15-7(16,1-2-34-3-4-35-5-6(32)33)8(17,18)9(19,20)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)31/h1-5H2,(H,32,33)",NBOGUPNUTCFENI-UHFFFAOYSA-N,,566.0385
InChI,InChIKey,SMILES,Synonyms,PUBCHEM_CID,Molecular formula,Major Isotope Mass,ALogP,Lipinski_Violations,Insecticide_Likeness_Violations,Post_Em_Herbicide_Likeness_Violations,Metabolite ID,cdk:Title,Reaction,Reaction ID,Enzyme(s),Biosystem,Precursor ID,Precursor SMILES,Precursor InChI,Precursor InChIKey,Precursor ALogP,Precursor Major Isotope Mass
"InChI=1S/C18H14F21NO5/c19-9(20,1-2-44-3-4-45-6-7(41)40-5-8(42)43)10(21,22)11(23,24)12(25,26)13(27,28)14(29,30)15(31,32)16(33,34)17(35,36)18(37,38)39/h1-6H2,(H,40,41)(H,42,43)",LZKVIDIQKBFLRW-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)NCC(O)=O)F)F)F)F)F)F)F)F)F)F,,,C18H14F21NO5,723.053665168,4.549700000000001,2,1,1,BTM00001,BTM00001,Glycine conjugation,BTMR1325,EC 2.3.1.13,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F)F)F,"InChI=1S/C16H11F21O4/c17-7(18,1-2-40-3-4-41-5-6(38)39)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)15(33,34)16(35,36)37/h1-5H2,(H,38,39)",CEMDWQYQKLEJMU-UHFFFAOYSA-N,,666.0322
"InChI=1S/C22H19F21O10/c23-13(24,1-2-50-3-4-51-5-6(44)52-12-9(47)7(45)8(46)10(53-12)11(48)49)14(25,26)15(27,28)16(29,30)17(31,32)18(33,34)19(35,36)20(37,38)21(39,40)22(41,42)43/h7-10,12,45-47H,1-5H2,(H,48,49)",DUIINGVHWKQBMX-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(OC1OC(C(O)C(O)C1O)C(O)=O)=O)F)F)F)F)F)F)F)F)F)F,,,C22H19F21O10,842.064289428,3.5810000000000017,2,2,2,BTM00002,BTM00002,O-Glucuronidation of aliphatic acid,BTMR0167,EC 2.4.1.17,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F)F)F,"InChI=1S/C16H11F21O4/c17-7(18,1-2-40-3-4-41-5-6(38)39)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)15(33,34)16(35,36)37/h1-5H2,(H,38,39)",CEMDWQYQKLEJMU-UHFFFAOYSA-N,,666.0322
"InChI=1S/C23H24F21NO6/c1-45(2,3)9-11(8-12(46)47)51-13(48)10-50-7-6-49-5-4-14(24,25)15(26,27)16(28,29)17(30,31)18(32,33)19(34,35)20(36,37)21(38,39)22(40,41)23(42,43)44/h11H,4-10H2,1-3H3",WJWMWMGJJVUFHO-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(=O)OC(C[N+](C)(C)C)CC([O-])=O)F)F)F)F)F)F)F)F)F)F,,,C23H24F21NO6,809.1268301079999,3.3666000000000005,2,1,1,BTM00003,BTM00003,Carnitine conjugation,BTMR1324,EC 2.3.1.7,HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F)F)F,"InChI=1S/C16H11F21O4/c17-7(18,1-2-40-3-4-41-5-6(38)39)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)15(33,34)16(35,36)37/h1-5H2,(H,38,39)",CEMDWQYQKLEJMU-UHFFFAOYSA-N,,666.0322
"InChI=1S/C12H3F21O/c13-3(14,1-2-34)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)11(29,30)12(31,32)33/h2H,1H2",DFKYJTGKLKVXAB-UHFFFAOYSA-N,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CC=O)F)F)F)F)F)F)F)F)F)F,,,C12H3F21O,561.984857336,5.3649000000000004,2,0,0,BTM00004,BTM00004,O-Dealkylation of dialkylether,BTMR1129,"CYP1A2
CYP2C9
CYP2C19
CYP2D6
CYP3A4",HUMAN,,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(C(F)(CCOCCOCC(O)=O)F)F)F)F)F)F)F)F)F)F,"InChI=1S/C16H11F21O4/c17-7(18,1-2-40-3-4-41-5-6(38)39)8(19,20)9(21,22)10(23,24)11(25,26)12(27,28)13(29,30)14(31,32)15(33,34)16(35,36)37/h1-5H2,(H,38,39)",CEMDWQYQKLEJMU-UHFFFAOYSA-N,,666.0322
