Name,Adduct,mz,Formula,MS2,isosmiles,Database,is_oecdpfas,analogue_score,analogue_score_num
MoNA:548147 6:2PAP,M-H,442.972,C8H6F13O4P,78.959:100.0 96.9695:61.992889,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.3296625350818898,2
Perfluorooctyl phosphate,[M-H]-,442.9723,C8H6F13O4P,78.959:999 96.9695:619,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.32962997672744665,2
6:2 FTS ,[M-H]-,426.9679019,C8H5F13O3S,79.95736486:1.0 80.965189892:1.0 406.96167859599996:1.0 426.967906848:1.0,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.28919958361564424,3
"MoNA:471344 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9829:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.983:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
"MoNA:471606 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9837:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"MoNA:478748 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9828:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"Massbank:EA273259 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.982788:208536.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"MoNA:478156 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9832:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9828:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
"MoNA:478223 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9826:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.983:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9832:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.982:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
"Massbank:EA273254 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.982605:197765.703125,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"Massbank:EA273253 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.98291:246075.09375,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
FHUEA,[M-H]-,356.9790379,C8H2F12O2,292.98298:100,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,inhouse standard,1,0.2720815641397364,1
"Massbank:EA273251 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.983704:3500050.5,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"MoNA:471344 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9829:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9829:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.983:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9826:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
"Massbank:EA273252 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.983185:221616.5,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
MoNA:478223 6:2 fluorotelomer unsaturated carboxylic acid,M-H,356.979,C8H2F12O2,292.9826:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
"Massbank:EA273258 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,292.982513:206824.796875,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9837:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.983:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
"MoNA:478429 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,292.9825:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,292.984:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,292.9825:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.2720815641397364,1
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.979,C8H2F12O2,242.9858:43 292.9827:999,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MassBank,1,0.266408452741485,2
"Massbank:EA273260 6:2 fluorotelomer unsaturated carboxylic acid|(2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid|2-Octenoic acid, 3,4,4,5,5,6,6,7,7,8,8,8-dodecafluoro-, (2E)-",M-H,356.979,C8H2F12O2,242.985794:6954.899902 292.982697:158211.796875,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.266291500890694,2
"MoNA:478804 (2E)-3,4,4,5,5,6,6,7,7,8,8,8-Dodecafluoro-2-octenoic acid",M-H,356.979,C8H2F12O2,242.9858:4.395943 292.9827:100.0,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,GNPS,1,0.26629150048126016,2
6:2 fluorotelomer unsaturated carboxylic acid,[M-H]-,356.97900390625,C8H2F12O2,242.986:44 292.983:1000,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MoNA,1,0.26628632636673316,2
6:2 fluorotelomer sulfinyl ethyl carboxamido trimethyl sulfonic acid,[M-H]-,602.03461,C15H18F13NO5S2,135.01217:275.0 152.03852:750.0 206.04833:500.0 256.03084:1000.0 ,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,inhouse standard,1,0.26108378670418575,4
dH-PFOA,[M-H]-,356.97998,C8H2F12O2,54.77289:7607 70.00335:7883 92.99428:21596 142.99149:20734 152.57317:8508 242.98828:39761 292.98132:1204812,O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F,Literatures,1,0.2608397711231555,7
5:3 FTECA,[M-H]-,356.99921,C8H5F11O3,60.87212:4415 87.00731:25347 254.9863:8656 347.58554:5334 356.99799:9102,O=C(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.2528591398076039,3
6:2 fluorotelomer phosphate diester ethanol,[M-H]-,486.99855,C10H10F13O5P,78.96137:1000.0 140.99508:541.0 ,O=P(O)(OCCO)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,inhouse standard,1,0.24581473213417238,2
n:2 FTSASAs n=3,[M-H]-,602.0346015,C15H18F13O5NS2,152.03868917999998:1.0 206.049253864:1.0 256.031889548:1.0 602.0346065040001:1.0,CC(C)(CS(=O)(=O)O)NC(=O)CCS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Literatures,1,0.23952451356210344,3
7-[(2-fluorophenyl)methoxy]-4-methylchromen-2-one CollisionEnergy:205060,M-H,283.078,C17H13FO3,62.93565:2159.0 65.307129:2355.0 68.995354:2571.0 72.664902:1993.0 77.217407:2396.0 82.41082:2169.0 92.392227:3835.0 104.303482:3261.0 112.341766:2475.0 178.016647:2419.0 187.040192:9311.0 207.081039:3780.0 209.925552:2226.0 216.989334:10221.0 219.080811:4879.0 221.061234:12632.0 235.076279:10864.0 248.048004:46358.0 254.986526:21387.0 261.05722:3550.0 262.062256:8883.0 263.071106:119320.0 282.981018:116196.0 283.077362:152135.0 283.193024:2770.0 298.49762:2240.0 417.511475:2667.0 431.471436:2464.0,Cc1cc(=O)oc2cc(OCc3ccccc3F)ccc12,GNPS,0,0.2386038630023106,22
7-[(2-fluorophenyl)methoxy]-4-methylchromen-2-one CollisionEnergy:205060,M-H,283.078,C17H13FO3,62.93565:2159.0 65.307129:2355.0 68.995354:2571.0 72.664902:1993.0 77.217407:2396.0 82.41082:2169.0 92.392227:3835.0 104.303482:3261.0 112.341766:2475.0 178.016647:2419.0 187.040192:9311.0 207.081039:3780.0 209.925552:2226.0 216.989334:10221.0 219.080811:4879.0 221.061234:12632.0 235.076279:10864.0 248.048004:46358.0 254.986526:21387.0 261.05722:3550.0 262.062256:8883.0 263.071106:119320.0 282.981018:116196.0 283.077362:152135.0 283.193024:2770.0 298.49762:2240.0 417.511475:2667.0 431.471436:2464.0,Cc1cc(=O)oc2cc(OCc3ccccc3F)ccc12,GNPS,0,0.2386038630023106,22
"""(3-chlorophenyl)-N-[7-(4-fluorophenyl)-2,4,6-trioxo-3-(trifluoromethyl)(3,5,7- trihydro-5,7-diazaindol-3-yl)]carboxamide CollisionEnergy:205060""",M-H,481.033,C20H11ClF4N4O4,62.884449:3031.0 65.998093:18721.0 66.322807:2957.0 68.995369:12411.0 82.721802:2813.0 85.450706:3446.0 92.995583:60698.0 100.000313:15247.0 104.308022:3798.0 108.990677:45692.0 115.030212:3004.0 118.681358:3835.0 120.006577:12518.0 133.001877:34650.0 134.927292:3442.0 135.036499:1720788.0 137.134811:3121.0 154.006531:16729.0 159.036194:7489.0 160.996933:208428.0 163.996414:4102.0 169.02124:31949.0 178.007431:6386.0 188.008377:6123.0 188.991989:230031.0 189.024384:5485.0 202.028976:3251.0 203.027344:3675.0 209.033707:6085.0 214.028275:3873.0 217.021881:65136.0 227.022018:4102.0 234.027557:4074.0 236.05162:3647.0 237.028229:121705.0 237.054932:4420.0 250.021606:3998.0 255.018906:191174.0 257.034668:77333.0 262.024078:15036.0 272.0289:35002.0 280.993103:8077.0 281.021851:45002.0 282.029663:227148.0 283.013641:140254.0 298.024292:20152.0 300.03949:13998.0 300.999207:45421.0 326.019745:2021710.0 344.00531:43320.0 368.025146:4424.0 418.020447:24735.0 438.027466:229482.0 481.033325:587343.0,O=c1nc(O)c2c(n1-c1ccc(F)cc1)N=C(O)C2(N=C(O)c1cccc(Cl)c1)C(F)(F)F,GNPS,1,0.2271622050302984,37
